,rate,text
1,2,"I knew almost nothing about Greek and Roman mythologies prior to reading this book. So, while reading the first two chapters and when I had difficulty following what's going on, particularly who were those characters, I picked up and started reading Edith Hamilton’s Mythology. After finishing the first chapter of that book, I resumed my reading and then I could follow.

The reason for my ignorance was that my teachers in elementary, high school and college did not bother teaching about those gods and goddesses. When people say “god,” for me it should be one of the three persons of one God: the father, the son or the holy spirit. Although, of course, mostly it is the son or the father and rarely the holy spirit). Virgin Mary nor any of the female saints has never been referred to as a goddess. Growing up, when a woman is referred to as a goddess, she must be a fox and not something that can move mountains or create a storm.

Okay. Okay. I had some sketchy knowledge about Mercury, Mars, Venus (the Romans and not the planets, silly!) from the that I used to read as a kid but I did not think that those had Greek equivalents who were created or made popular by Homer (around 850 B.C.) who wrote the , an epic poem about the Trojan War and is among the oldest extant works in Western literature. So, here I am saying hello to: (one of the Titans) who had three children: (ruler of the heaven), (ruler of the sea) and (ruler of the underworld). The three children seem to be evil that they “killed” their father and pound them into pieces. However, Kronus as the father of Gods cannot be killed so he is just there somewhere beneath the earth and he is making himself felt and I think he is like Voldermort in Harry Potter who will be the ultimate villain in the end of this series ha ha.

With the looks of it, Texan guy Rick Rioldan (born June 5, 1964 – ) cleverly used this portion of the Greek mythology and make us believe that Mt. Olympus which is where the 12 Olympians (3 of those I mentioned) reside, is on the 600th floor of Empire State Building in New York and the underworld where Hades stays is in Hollywood in Los Angeles! Good thinking for a guy as old as I ha ha. Two target (captured) markets: the old ones who love reading books about Greek mythology and the young ones who love adventures set in American soil. Clever guy. He is a graduate of University of Texas at Austin in 1986 where in double-majored in English and thought English history including Greek mythology (that’s why he knows his stuff oh so thoroughly). He got his first Master Teacher Award in 2002. So, the guy is not just an ordinary mortal like us, he is a model teacher!

The story revolves around a 12-y/o boy who is a demigod (son of Poseidon) with ADHD and dyslexia. He helps in finding the missing master bolt of his uncle Zeus to prevent the war between the two gods. In his quest, he is helped by , a satyr and also a demigod as she is the daughter of , the daughter of Zeus. Sorry, for lovers of romance, there is no love angle to the story because Athena is Percy’s (or Perseus, his Christian err Greek name) first cousin. The plot is ordinary but teacher Rioldan made sure that he followed the formula for YA: interesting characters, build the climax, throw in the mystery of Oracle, unstoppable action, one conflict after another up to the point of almost losing the quest, then suddenly there goes the resolution and then explain, explain, make the readers believe that everything still makes sense, then as this is a series, hang some stuffs unresolved, and oh the second book oh, put the first chapter of the second book to tease them to read it too.

Everything is in order: Flawless in following the formula to the letter. Witty and funny lines. Brilliant boundless imagination. I just cannot find fault about this book.

And oh, for those who did not like this book because they felt too old for this kind of story? Why did you pick it up in the first place? Aren't the cover and the blurbs obvious?"
2,2,"This book was released when I was about 16 or 17 years old, and at that point I loved Harry Potter (still do) but had moved on to adult literature. Like Middlesex and Brave New World and such. I was not going to read children's books anymore (god I was a book snob). So basically I missed out on the whole Percy Jackson obsession.

Anyways, I won't rehash the plot. I was honestly bored while reading this, and the flow of the book didn't work for me. It was like it had ADD or something. Every time the characters would try to accomplish something, something bigger happened right away. And I know that's the point, but I found it really annoying that they got attacked every 2 hours or something. It was all over the place.

I can see the appeal this holds to younger children and tweens, but I guess as an adult, this book just didn't work for me.

Via the Goodreads rating system I am rating this a 2 because ""it was okay"". I did not enjoy this book but I did not hate it."
3,2,"*boards up windows and doors*
Sooooooooooooo.. I'mdnfingthisat45%. *hides*

It's just not my thing. I'm keeping this sweet because this book is close to my dear friend Francesca's heart (Dear Lord, please don't let her see this) but I really didn't like this. I really really wanted to and was excited about it, but I didn't. I tell myself that it's not the book, it's me. That I'm too old for it, that it's not my fandom (I gave my heart to the boy in the cupboard under the stairs a long time ago) but honestly.. I think it's the book a little bit too. I absolutely ADORE , it's one of my all time favorites, which is also a middle grade but it's written SO much better than this. The first Harry Potters are aimed at a younger audience as well, and the fact that I grew up with it probably plays a huge roll in my thinking, but it's also written so much better than this is. The writing was so simple that it was hard for me to read and a little laughable. I tried to keep in mind that it's for a younger audience, that the characters age but I just couldn't do it.

I liked the mythology, but I could care less about the camp (I can't even remember the name) and just kept comparing everything to HP. I couldn't stop. Maybe if I hadn't seen the movie and didn't already know the end I would have found the plot more interesting but.. I knew the end and didn't find the plot interesting SOOOO.

Percy and his friends were fine. There were nothing special about them that really stood out to me. I didn't dislike them and I didn't like them. They were just meh.

So. Yep. Not my fandom. Not the book for me."
4,2,"2.5 stars Porbably would've lied it more have I read it when I was a kid for the first time. Reading this one as a grown up doesn't do it for me. I liked the Greek mythology in ti of course and think that it's simplistic enough for the younger audince to understand it and be interested in it, but also intricate enough for the adults to nod at the references as well. But at the same time, I didn't like - at all - that every freaking Greek god wanted to be only in North America. The freaking Olymp was ste in America. Are you kidding me with this?! Greek god's would obviously reside in - guess where! - Greece. They could be traveling all over the world of course, including America, but why the heck would ALL of them live there of all places? They have NO history there. That kind of thing seemed way too americanized for my taste. I also feel like Riordan inspired A LOT in Harry Potter. And even readers who love this series should well see that.

**************************************





Amazing start to the beloved Percy Jackson series! First of all, I absolutely love Greek mythology and Rick Riordan did it very well, so that even if you don't know these myths, you won't be confused at all.
I'm sure that Percy is very relatable hero for younger audience, Annabeth is just the kind of heroine I adore and all the characters are really cute!
Riordan's writing is fast, simple and enjoyable. All his characters are interesting and relatable to young readers. And I absolutely love how he blended mythology with real world - Even though, I don't get why would be Olymp and Greek gods in America. Shouldn't they live in Greece?!
I would - of course - like The Lightning Thief more when I was younger and sometimes, it reminded me too much of Harry Potter (Yes, I compared these two. And I'm definitely biased, because Harry Potter is my ultimate favourite series of all time. Duh.)






For me, some things were really good and some not so much - repetitive plot twists, little bit boring toward the middle of the book.
Overall, it was fun, fast and addictive MG read. I enjoyed the mythology, characters and their witty dialogues. And can't wait to read the rest of the series soon!"
5,2,"This is a sheer rip-off of Rowling's Harry Potter and the Sorcerer's Stone.

While Rowling's work is impressive and detailed, Riordan's work is a pure copy of hers.

Half-blood boy destined to save the world. Sound familiar?"
6,2,"...well, that was...interesting.

I honestly feel slightly bad for rating this so low since so many people I know love it, but it just made me squirm while I was reading it.

I love the way some authors weave mythology into their stories, like N.D. Wilson and Kyle Robert Shultz. Mythology is cool! So many fascinating creatures and places sprung from the imaginative minds of those who created mythology and legends. But the themes of the original myths? Not so great. Greek mythology, to me, displays the depravity of humanity, and I hate reading those stories. It’s important to understand the baseness of humanity to understand the grace of God, but Greek stories are just depraved.

And yes, I knew that this series was full of mythology before I read it. But I held out hope that there would be some redeeming qualities to it. Unfortunately, I found that it was infused with the same humanism and childish cosmic fits as the original myths.

It’s not the “mythology,” exactly, that bothers me about this story; it’s the themes. It was interesting how at one point, Chiron hinted that God did exist in addition to the Greek gods. But the way the whole system was set up...there’s no way Yahweh could exist. Greek mythology is full of humanism and hopelessness, and it makes me feel sick to think of living in a world like that. How can people live with no hope? The gods are capricious, immoral, and manipulative; it’s quite obvious that they were created in humans’ own image. Since the gods set such a horrible example for humans, it’s no wonder that humans abandon true morality when they follow that system. These childish, glorified humans with superpowers whose temper tantrums cause world wars are not people who deserve homage.

The “good” in the story seems really pointless based on the arbitrary morals presented. If God doesn’t have an active role in the world, then what is good? What is evil? The fates of those in the underworld cast a hopeless, meaningless gloom over the story. Over life. Doing “good,” then, is...what? Something that will get you into Elysium? Which is doing stuff and desperately hoping that it’s enough? There’s no moral foundation to say what’s good and what’s evil.

Additionally, the whole thing with gods running around infatuated, having affairs and having kids all over the place, just...gives me a sick, yucky feeling. I know that’s a big part of the Greek myths, but of course that does not at all make it okay. *shudders* Ugh. I hate stories where people don’t truly value marriage/true love/relationships, just the cheap thrills they can get from casually playing around.

All that said, does have fun parts to it. The perspective is realistic for a twelve-year-old; Percy is a great narrator. Good foreshadowing and snarky/sarcastic humor compose a well-structured novel. I like the theme of friendship and teamwork as Percy, Annabeth, and Grover persevere on their mission. And the chapter titles are hilarious (they remind me a little of the chapter titles from the Afterverse books).

Now, I don’t think reading this series will cause kids to do anything so drastic as to start worshiping the Greek gods, but I personally do not recommend this book. I know I’m reading a lot into this; it is a MG series. But I just didn’t feel okay with it.

It’s possible that I may read the rest of the series at some point in the future since the story is interesting, but I didn’t enjoy this first book very much.

Content: mild violence, Greek mythology (obviously), many references to affairs/extramarital relationships between gods and between humans and gods"
7,2,"No.

Writing for children is not easy. It's not something you do if you can't write for adults. Children are not stupid, they are people in development. Because of that, every author that specialises in child literature has a responsibility, and I'm not talking about the story told, but how it is told. If they read half-sentences, they will think half-thoughts. If they are not challenged to think, their brains won't challenge themselves.

That said, this is not a book for children this is just a badly written book. Author is chewing on someone else's world and not bringing in much new. And being predictable predictable predictable.

P.S.
The only thing America is the center of is mass market production."
8,2,"The observation is hackneyed by this point, but the book just screams 'Harry Potter' knockoff from page one on and very rarely lets up.

The writing is pretty good. The story is adequate, although the big twists are pretty well obvious and the author does little to conceal them. The author is particularly good with action scenes and wisely decides to stick to what he does well. The attempts at witty, angsty teenage banter often seem forced and clichéd. One of the biggest virtues of the book is that it is short and doesn't drag.

Compared to the first book of the Harry Potter series, I was much less bored by 'The Lightning Thief'. But on the other hand, I was at the end a lot less satisfied. I found 'The Sorcerer's Stone' to be dull and drag and was on the verge of giving it up several times, but Rawling's excellent story telling skills made for an ending that was sufficiently dramatic and unexpected that I was willing to give the second book a go. Likewise, the Harry Potter stories are infused with a deeply thoughtful morality and occasional flashes of brilliance that made them more than simply good kid's fare. I rarely got the same feeling from 'The Lightning Thief' and was left with little to chew on or anticipate, so it seems unlikely that I'll follow Percy Jackson's story further any time soon.

I also got the feeling that this book simply couldn't have been written without Harry Potter as a template.

One concern about this book is that I can't figure out really what age of reader is appropriate for it. The book deals with a lot of tough mature themes which I'm not sure I'd consider appropriate reading for a 12 year old, but the language seems more geared to 6th graders. My guess is that by far the biggest audience for the book is adult readers of Harry Potter. While the substance of the book is perfectly appropriate given its genesis in the wildly amoral Greek myths, it stands in marked contrast to the sensitivity of the Harry Potter series which successfully matured its characterization of evil to match the maturity of a reader of roughly the same age as the main character.

Besides all that, my single biggest complaint though is a nerdy one. In the book, several characters are said to be the children of Athena. Athena however was a fiercely virginal goddess both by oath and inclination and it’s completely out of character of the chaste mythic goddess to be having casual affairs with either gods or mortals. Like Artemis, she is supposed to be unconquerable, even by Eros."
9,2,"This would be amazing if I was an child and never had seen the movie but this wasn't the case so I didn't realy enjoyed this one but I'm curious what happens further on in the serie so I will continue plus the bright side of this book serie is the greek mythology wich I love and the fast pacing, gave this book 2 ⭐⭐"
10,2,"I read the e-version and it had some glaring typo and grammar mistakes....but that isn't enough to put me off a book if it's fast paced and contains a balanced mix of realism and fantasy, and a refreshing lack of vampires, zombies and other blood-thirsty examples of the nether world.

Rick Riordan certainly scores with weaving Greek mythology into the present-day US, and as a means of introducing Greek gods to reluctant students, this is as good a means as any.

What I didn't like was the ADHD aspect to Percy's personality - the symptoms described didn't seem to match personal experiences of the condition and there was a tick-box mentality towards cataloguing the known or possibly attributable characteristics of ADHD from which Percy suffers. The flip-side to that is that Percy's ADHD 'weaknesses' are turned into positives in Riordan's take on the making of a god, and given all the uncomfortable press ADHD receives, this has to be a plus for any kid who has been labelled ADHD/Asperge's Syndrome/Autism Spectrum.

For an average 12 year old suffering with ADHD, Percy comes across as being far more perceptive than is possible, able to vanquish his foes without any basis other than being hyperactive and therefore possessing super-fast reflexes. Annabeth seems much older and is set up from their first meeting as a love interest, regardless of her crush on the older, more accomplished Luke. Luke is nicely foreshadowed at the beginning of the book, but Mr D is a little tedious by the end. The description of the Furies is a nice twist, as is the modernisation of Olympus and the reasoning behind its present location.

It's an easy, fast read for the age group at which it's aimed, and despite being an HP copycat, Percy Jackson brings a slew of different characters and adventures to fill some of the breach left with the vanquishing of Voldy. It won't provide the same emotional intensity as HP, but it's a fun-filled way to catch up on some ancient Greek in an American setting."
