,Unnamed: 0,rate,text
0,1,1,This is a disgrace to all pure bloods. My head looked quite dashing on that strange professor's head.. If only I could have extended my stay. Harry Potter.. This is not over yet.
1,2,1,"Can 35 Million Book Buyers Be Wrong? Yes.

Taking arms against Harry Potter, at this moment, is to emulate Hamlet taking arms against a sea of troubles. By opposing the sea, you won't end it. The Harry Potter epiphenomenon will go on, doubtless for some time, as J. R. R. Tolkien did, and then wane.

The official newspaper of our dominant counter-culture, The New York Times, has been startled by the Potter books into establishing a new policy for its not very literate book review. Rather than crowd out the Grishams, Clancys, Crichtons, Kings, and other vastly popular prose fictions on its fiction bestseller list, the Potter volumes will now lead a separate children's list. J. K. Rowling, the chronicler of Harry Potter, thus has an unusual distinction: She has changed the policy of the policy-maker.

Imaginative Vision

I read new children's literature, when I can find some of any value, but had not tried Rowling until now. I have just concluded the 300 pages of the first book in the series, ""Harry Potter and the Sorcerer's Stone,"" purportedly the best of the lot. Though the book is not well written, that is not in itself a crucial liability. It is much better to see the movie, ""The Wizard of Oz,"" than to read the book upon which it was based, but even the book possessed an authentic imaginative vision. ""Harry Potter and the Sorcerer's Stone"" does not, so that one needs to look elsewhere for the book's (and its sequels') remarkable success. Such speculation should follow an account of how and why Harry Potter asks to be read.

The ultimate model for Harry Potter is ""Tom Brown's School Days"" by Thomas Hughes, published in 1857. The book depicts the Rugby School presided over by the formidable Thomas Arnold, remembered now primarily as the father of Matthew Arnold, the Victorian critic-poet. But Hughes' book, still quite readable, was realism, not fantasy. Rowling has taken ""Tom Brown's School Days"" and re-seen it in the magical mirror of Tolkein. The resultant blend of a schoolboy ethos with a liberation from the constraints of reality-testing may read oddly to me, but is exactly what millions of children and their parents desire and welcome at this time.

In what follows, I may at times indicate some of the inadequacies of ""Harry Potter."" But I will keep in mind that a host are reading it who simply will not read superior fare, such as Kenneth Grahame's ""The Wind in the Willows"" or the ""Alice"" books of Lewis Carroll. Is it better that they read Rowling than not read at all? Will they advance from Rowling to more difficult pleasures?

Rowling presents two Englands, mundane and magical, divided not by social classes, but by the distinction between the ""perfectly normal"" (mean and selfish) and the adherents of sorcery. The sorcerers indeed seem as middle-class as the Muggles, the name the witches and wizards give to the common sort, since those addicted to magic send their sons and daughters off to Hogwarts, a Rugby school where only witchcraft and wizardry are taught. Hogwarts is presided over by Albus Dumbeldore as Headmaster, he being Rowling's version of Tolkein's Gandalf. The young future sorcerers are just like any other budding Britons, only more so, sports and food being primary preoccupations. (Sex barely enters into Rowling's cosmos, at least in the first volume.)

----------------------------

The first half of a little piece I wrote from the in July 2000. Rest is available at []."
2,3,1,We don't support transphobes in this house
3,4,1,"Update: 23/8/2018 My review is still hidden from view on GR. If it were listed on the community reviews, it would be the third highest voted 1 star review. In fact, since it has now been hidden for five years, maybe it would be the highest. It was the highest voted negative review prior to removing it from view.

Should I make a list of my reviews in order of how proud I am of them, this would be somewhere in the dark. However, that doesn't seem like the point. The fact that it had 140 likes and several hundred comments has to count for something. As far as I can see, I haven't broken the on GR in this review.

I've decided to enquire further as to whether I might be reinstated. I wonder if they ever do that?

The REVIEW.

Enough. I'm putting this one to bed. I so don't want to finish it.

‘Not enough sex’ was my first thought, but then we do get to this part where boys are discussing the length and capacities of their wands and I perked up for a moment until I realised that they were actually talking about wands.

You will say that this is a book for children and that sex has no part in it, but, I think Randall has it right, as usual:


XKCD's take on young boys

Now, I don’t know a whole lot about boys on the verge of pubescence, but I’m fairly sure they are more interested in willies than wands. Perhaps this book would have sold better if the author had regarded that piece of advice. (Note to self: check if anybody bought this book. Perhaps the author would appreciate my thoughts.)

---------------------------------------------


So, I keep getting hate comments for this review and I thought it would be nice if you all had a place you could get together and badmouth it. Announcing....

A new group:

People who hate my Harry Potter review....

Come this way:



I'd be honoured if you joined. And I'm really sorry to all the people who wrote comments here which I misguidedly deleted.

----------------

20 August 2013: My Harry Potter review has been flagged and censored.

Given that the review itself has experienced its own form of peer judgement via the voting system and given that it has been up for a couple of years or more I wonder if this is part of the new Amazon way?

To quote the advice sent to me:




The review guidelines are here:"
4,5,1,"Pathetic. Really pathetic.

Harry Potter is more of a Mary-Sue than Eragon. More than Nancy Drew. More than the worst of fanfiction I've seen.

He's rich, popular and famous for absolutely nothing of his own doing. He destroys the power of the big bad guy before he's a year old. He has the whole angsty past down pat. He instantly becomes the best at flying without ever having done it before, wasting all the older and more experienced flyers. And get this - he fries bad guys when they touch his skin because the power of his mother's love is so amazing that it protects him.

I mean, gosh, the only Sueish habit we aren't subjected to is multipage rants on his appearance each morning. Or the devoted unicorn of unusual powers, of course, but I'm expecting him to show up in the very next book. After all, she has to keep some plot devices for the next one, doesn't she? Can't put all her brilliant twists out at once...

*heavy sarcasm*

Don't even get me started on the plot. Epic failure. 'Nuff said.

Harry wasn't any excuse for a hero. He did nothing, he just sat around and things happened to him. End of story. His fame was inherited, his fortune was inherited, he lived with his relations and allowed them to bully him, and couldn't even manage to read his own mail. His wonderful skills were not worked at and studied for years but picked up instantly, and he bet the bad guys by electrocuting them with his infamous zapper skin.

I could go on for hours. The thing that really gets to me is that is the great literature of our age? What hope is there for any decent writers if all kids want to read is this utter garbage? What hope is there for the world if kids are growing up thinking this is good literature?

This is a dangerous book. It made me consider both suicide and mass homicide, and it is definitely not suitable for children."
5,6,1,"I'm going to change my ratings for the Harry Potter books from 5 to 1 and here's why:

Recently I've learnt about some problematic writers and then I changed my ratings for the books. I did not do these for the Harry Potter mainly because of nostalgic reasons. But let's change that.



I'm extremely for the hurt caused to her and all women by men. This however is no excuse to be a TERF (Trans Exclusive Radial Feminist).

First and foremost let's talk about what Gender and Sex mean. Sex is biological made up of chromosomes, genitalia and hormones. On the other hand Gender is socially construct way of enacted roles and behaviors. The two are often used interchangeably but are not in fact the same.

Since she talks about biology let's talk about sex. Unlike popular belief it is not binary. There are many intersex states; some more obvious; but all equally deserving of our love and respect. Some people with an intersex state may not know until later in life about it.

(Transgender: not conforming with your sex (assigned gender) and changing it)
(Intersex: biologically (chromosomes/genitalia/endocrine hormones) not falling on the male or female spectrum. They may conform to a particular gender)

Since she talks about menstruation let's mention a few women who do not menstruate: intersex women, women after menopause, and trans women. Menstruation is associated with females but does not equal to womanhood and not menstruating does not does decrease your femininity.

If you live in South Asia; chances are you've seen so many abandoned trans woman and have heard harmful stereotypes about them.

Trans Women are not a danger to cis women any more than the other cis woman. Which is of course possible any one can be dangerous but the trans part has nothing to do with it.

When a publishing industry called her out. She threatened to sue and they issued an apology. She is a rich and powerful lady and she's using that privilege to silence people. You can't say you're for freedom of speech and then use your money and power to silence. This is the move that made me do this.



Let me start by telling you that I absolutely love Harry Potter (I gave it 5 stars) but that doesn't mean there isn't anything wrong with it. I appreciate how it taught so many people about love. Most of these things were not obvious to me the first time I had read it.



Harry Potter like most popular franchises is mostly white.

All characters of colour are minor characters. You might not even remember them I'm going to talk about some of them:

The Patil sisters.
The only South Asian characters and We barely see them. The most we see of them is them being Harry and Ron's last resort. But of course these South Asian girls are not good enough for our white boys. Harry and Ron should be grateful for getting any dates at all but no they are jerks to them. Parvati is the vain girl (like a lot of girls with more traditional femininity. Also the movies gave them ugly cultural dresses; how would they know? If they did more research they would. The Harry Potter movie makers have put so much thought into such little details but here they just went with ugly choices. But their just dresses? The whole world was watching them and when you are representing something you put the best out there.

Cho Chang.
The only East Asian character and we see her mostly as an object of attraction for boys around (cedric diggory, dean thomas and of course our harry potter). In the 5th book; Harry treats her like shit and does not acknowledge the trauma of her loosing her boyfriend like that. The movies take it up a notch and make the only East Asian character a sort of villain. She's a ravenclaw in the books which means she's supposed to be very smart but somehow we never get to see that side of her. Her name itself is racist.

Dean Thomas.
Of course it's not racist if our main white guy is friends with a black guy right. We don't really get to see that much of him and he eventually becomes Harry's romantic rival for Ginny. Also I'm not sure if I remember correctly but I think he was a toxic boyfriend to Ginny (correct me if I'm wrong). A black guy shown as a toxic boyfriend? You see what's wrong here don't you.

Lee Jordan.
Fred and George's black sidekick and commentator for the Quidditch games. That's his only character.

Nagini.
I can't tell you much about her since after hearing how problematic Crime of Grindelwald were I never watched it. Here is what I know: An Asian character is a snake and servant to Voldemort.

Leta Lestrange.
I can't tell you much about her since after hearing how problematic Crime of Grindelwald were I never watched it. Here is what I know: Black character dies to save white men and advance the plot.


You want to make a main character black you actually go ahead and say it in the books. If she could make minor characters black in the book she could've done so with Hermione too. You can't just look at social media learn about diversity points and change your white character to black.



Some fat villainous characters: Crabbe, Goyle, Uncle Vernon, Dudley. The writer loves talking about fat roles of bullies. Characters that are considered cool villains however do not have these: Draco, Snape, Voldemort.



All except one house elf is happy to serve their master. The house elves have no sense of self worth. Even Dobby who has some self worth and wants to be free does not think it's right to ask for more pay and has it reduced to a minimum. No character; literally none at all care about this; getting freedom for them is not on their's or the wizard's agenda. Except for our white saviour in Hermione; but even she can't do much about it since she's called stupid for caring about such useless things. The ""Happy slave"" trope is used by white people to feel good about their atrocities; they feel good about just treating the slave with basic human decency and forget basic human decency is the opposite of slavery; no person serving without getting anything in return is happy. Any movie/book you've seen this trope in is by a white person and is possible based on the white perspective too.



Here is something that I never realised on my own. And thank you for people on social media for teaching me about it. And I cannot explain this very well. But the goblins here are Jewish stereotypes. The Jewish economic myth makes Jews look like villains who are greedy and big nosed and horde wealth. This is how the goblins here are portrayed.



Whether you acknowledge it or not Queer people exist. And their not fairies so will not die if you just stopped believing in them.

Queerbaiting.
I read the Harry Potter books and never knew Dumbledore was gay because he's not in the books. But she said he is on twitter. Then the Fantastic Beasts movies were coming out and he was not gay in the movies either. This my friends is queer-baiting.

Lycanthropy.
This again I learnt from social media and I'm not very good at explaining this
She said in one of her interviews this condition of being a werewolf was a metaphor for HIV/ AIDS. Fenrir Greyback is known to attack kids in the books. There are harmful stereotypes of gay people being pedophiles and this goes to encourage that stereotype. Now if Fenrir Greyback was just a metaphor for pedophiles being monsters that would've been good.

All of this is not to guilt shame you for liking Harry Potter. It's to show you how something so beloved can also be problematic. It's also ironically beautiful that something with so many hateful tropes gave people the message of love.



Do I even have to elaborate this?


If you really must buy second hand books and unofficial merch for your fandom feels. And lower your ratings.

I hope you read this whole thing. You might even have learnt something. I actually wrote this in a very sarcastic tone first then fixed it. I'm still learning and if you find any language here to be hurtful let me know and I'll change it."
6,7,1,"It is a bewildered girl who writes this. After all, her mind reasons, isn’t this THE children’s series? The best thing to have hit the bookstores since Narnia? There must be something tragically wrong with me. Surely my mind has twisted this into something other than what’s really there. Right?

Unfortunately, I don’t think so. You see, I’ve realised something. I might only have just finished book one (yeah, I’m just a little behind the times), but I’ve realised something. Harry Potter is a Mary Sue, Gary Stu, Marty Stu, whatever you want to call him. Let me say it again.

HARRY POTTER IS A SUE.

No wonder it was boring and bothering me so much. I can hear you future readers (at present I have exactly none) demanding to know why, just why, I think he is a Sue, and how dare I? Those of you who haven’t fainted, that is.

*puts on mafia boss accent* You wanna know why? Let me count the ways. If you could just keep track on your fingers–oh, it looks like you’ll need your toes as well–that would be really helpful.

Right. Here we go.

1. He’s hated by all the nasty (some of them ridiculously evil) people.

2. And liked by all the good ones.

3. He has a cool scar, black hair, and green eyes. Like, yeah. He looks cool. This is the reason I stay away from the black hair/green eyes combo in my own writing: it’s really something that gets doled out by most authors to their specialest favouritest characters. And boy, is Harry Potter special or what?

4. He’s famous. Not only that, but everyone bows to him in the street. I think we just discovered Buddha’s successor.

5. He’s rich. Insanely rich. What are the odds?

6. He got into the best school for magic around. Without even applying.

7. He’s a Gryffindor, the most fantabulous house in the school.

8. He’s fantastic at broomsticking even though he’s never had any practice whatsoever.

9. Immediately, instead of getting punished for breaking the rules, he gets put on the Quidditch team even though it’s unheard of for someone so young to be there. And this is after the teacher sees one single display of catching a Remembrall. Ever heard of beginners’ luck? Adrenaline-fuelled ability, perhaps? Heightened senses? With all this, she still decides that Harry should be in the Quidditch team.

10. Continuing the theme of complete and utter Sueness: FREE BROOMSTICK! Not only that, it’s the latest in broomstick technology.

11. He got given his broomstick by a teacher. I will leave you to guess the phrase that applies here. Starts with ‘t’ and ends with ‘eacher’s pet’. Wow. You got it. Tell me, have you applied for Mensa yet?

12. He then impresses everybody on the Quidditch team with his special specialness to such an extent that he’s likened to the greatest Quidditch player in a hundred years (who was also definitely older than Harry when he played Quidditch).

13. Invisible cloak. He’s got all this, and then to add to it, he gets an invisible cloak.

14. He’s smart.

15. He’s brave.

16. He’s good at magic. These last three combined are a Sueness Overload in themselves.

17. And yet, even with all these qualities, he’s so generous and brave, is purported to have such good judgement, etc., that you feel as if the urge to like him is being shoved down your throat, stirred until properly combined, and left to set for three hours.

18. This is the part that made me almost throw up: Hermione, for no good reason, throws her arms around Harry and tells him how great he is, and that she’s basically not worth half of what he is. Just stuff some more Sueness down our throats, why don’t you, J?

19. Harry just escaped major Sue-ity again because Neville Longbottom’s final points are the ones that win Gryffindor the House Cup/Trophy/thing. Still, Ron and Hermione win a generic fifty points each. Harry, of course, has to get sixty. Minor Sue-ness.

20. Yeah, he loses Gryffindor a massive 150 points, but he gets it all back, doesn’t he? Being treated like an outcast doesn’t really seem to have made an impression on him at all.

21. Instead of being punished for heading into the third-floor corridor, he is rewarded. Now, make no mistake, I do see that there are times when we should break the rules for the right reasons. But surely, to maintain order, shouldn’t the ‘perpetrators’ be punished on the surface of things? Surely Harry should be given grunt work or detention or something, right? Wrong.

22. The way he was saved from the evil Lord Voldemort is by nothing other than Pure Love. *cue sparkles*

23. Dumbledore turns out to have given Harry the cloak. Surely, having been a teacher for many years, he would recognise what mischief kids get up to, and would really NOT want a boy whose friends include the brother of Fred and George Weasley to have access to an invisible cloak. Or, if it comes to that, any kid at all. T-E-A-C-H-E-R-S-P-E-T.

I wouldn’t care if HP only displayed a couple of these characteristics, but he’s got the whole lot! The thing that really drives me up the wall is that surely this should be the ultimate guide for what not to do when writing a book, and yet… and yet… it’s a bestseller. It’s not sour grapes that keep me writing this post. It’s sheer confuzzled amazement.

The writing style is boring and forgettable. No description to speak of, no real thoughts. There are some allusions to historical figures and terms, and so on, but they aren’t presented in an interesting way. And couldn’t we have at least met Nicholas Flamel?

The morals in Harry Potter and the Philosopher’s Stone are negligible at best. It’s just me, me, me propaganda in disguise—one lying, sneaking, and even ‘immobilising’ episode after another. And that’s from the so-called ‘good’ characters.

Cliché after cliché abounds in this book. It’s there in Dumbledore’s white beard. It’s there in Harry’s surprisingly quick Quidditch triumph. It’s there in Professor Quirrel’s turban. And most of all, it’s there in Draco Malfoy, a character so flat he could’ve been made out of paper and then run over with a steamroller and his original shape would have been slightly rounder.

Added to which, the plot is so unoriginal. Can anyone say ‘Cinderella’? Orphaned child mysteriously left with a mean, boring family who doesn’t want him and treats him terribly. Discovers that he really belongs to a world beyond his wildest dreams. And that he’s very, very rich. Almost immediately, he’s at home there. Sure, he has his enemies, but who doesn’t? And they get dealt with anyway. Added to which, it turns out that his parents are super-cool.

If that’s original, then I’m Neville Longbottom’s true love. Turns out everybody who keeps calling this original is Neville's honeybunchkins.

I had to struggle to finish this book. Really struggle. I had it out from the library for nine weeks because I kept putting it down for ten days or so, then realizing I should probably finish it to see if it got better. I’d pick it up and realise that I’d forgotten what had happened before, meaning I had to go back to the beginning and start all over again. This, as you may well imagine, drove me nuts.

Eventually, with the help of SparkNotes, I managed to figure it out and I’ve just taken book 2 out of the library. I’m wondering if it gets any better. After all, J.K. Rowling’s run out of Cinderella storyline. Considering how much people love this series (to me at this point in time, they are inexplicably popular), I’m not going to end with a pessimistic “I don’t think so”. I might go with something more like this:

It’s got to, right? Right???

--------

*Disclaimer: As I am not at this point in time a Harry Potter fan, I’ve probably gotten a couple of things wrong, although I’ve checked and double-checked to the best of my ability. (If you see any errors, please comment and let me know.) However, even if a few things are a bit off, there are still about twenty points on this list. Surely that’s enough to merit consideration anyway."
7,8,1,"So, this is the book everyone loves?"
8,9,1,"You're a wimp Harry.

Harry is the perfect bland character that the reader can feel at home with. He does not have any talents that anyone would be jealous of or feel threatened by. He is not overly attractive, tall, muscular, athletic, intelligent, coordinated, over-the-top, brave, confident, knowledgeable or talented. In fact he doesn't have any hobbies or interests to speak of when he is first introduced. He is completely and totally average.

But here is the kicker, even though he is totally average, everybody knows his name and his fame has spread throughout the magical world. This is easily every kid's dream. To not have to work or be talented, and still be gifted with this intense fame and notoriety. It's a perfect bed-time story that you would tell a small child and could easily be replaced with, ""Sammy you are such a special little boy and everyone saw how special you were right away. The whole world knew Sammy's name and just how special he was.""

Not only is Harry well-known but is always under the media's eye and captures headmaster's (and other people of power) interest. Another testament to his 'specialness'. Harry's character reaches into the childish need of people to be recognized for their talents that they already possess, not for working hard or striving for improvement of these talents. We want to be praised for just being ourselves! Harry also can do whatever he wants and go into the blocked off areas of campus. This feeds another childish need, the need to explore and be bad and see if you will get reprimanded. However Harry is never reprimanded, in fact he is praised for his behavior. He is so 'special' that even when he is being bad and not following the rules, it's because he has picked up clues that no one else but him, a child, can see. He is quite literally the 'the one and only'. As a reader this is enticing! How amazing would it be to be Harry! To not have to work or study or earn these adventures, but simply through your birth and by being yourself, you were given these adventures and have a different set of rules than everybody else! As Harry, you are prized and one-of-a-kind.

However everyone has to experience some hardship and Harry is given his by being left as an orphan. Another childish dream come true! Who needs nasty parents that always ruin your fun? (Disney agrees. Parents affect the plot line too much). Naturally this works out well for Harry. It gives him a pitiful, depressive attitude and buckets of money. Now he has money, no one to stop him or set rules for him as he goes gallivanting off to fight the Big Evil. It also gives him a chip on his shoulder that the reader can sympathize with. Without this sympathy Harry would just be an average kid who won the lottery and got to practice magic at a cool school, but since he is an ORPHAN that won the lottery and practices magic the reader feels bad for him and works even harder to like him and feel connected to him. To put the cherry on the top, little rich magical Harry is forced to live in a nice home with stupid people. They don't beat him but instead refuse to give him gifts and make him feel more average and like a weirdo. What reader hasn't felt like a weirdo in their life? This struggle is the final connection to Harry and the reader is drawn in hook line and sinker.

Although Harry consistently moans about his loneliness he has a close knit group of friends that would give their life for him. In order to make up for Harry's average self his friends possess more talents, cleverness and influence than him. The headmaster has power, Hermione has intelligence, Ron has strength and a place for Harry to stay/family, and Hagrid has information and access to the school. Therefore Harry is lifted from the burden of ever having to improve himself because he has amassed friends that can help him in any situation. Score. However average Harry is having a hard time making friends at school due to jealousy. It seems oh so strange that people would dare to jealous of little rich magical famous Harry. In order to combat this jealousy Harry easily discovers that his does have a hidden talent: flying on a broomstick! It was locked in his DNA (thanks Dad!) and needed no training or experience to work perfectly. Now he has one claim to fame that the other kids can admire instead of be jealous of! Since he will fly on the Hogworts team he is now an asset to the student body. Yay Harry! You have succeeded without work again! However these team practices are often too much of a commitment for Harry so he finds many excuses to miss them. Since he is such a favorite, the team agrees.

But Harry has run into some trouble. It seems that his refusal to be friends with a rude boy has led to ever-lasting hatred! Poor Draco is given no depth besides that of a preppy little twat. Harry can't fight someone more interesting or pitiful than him so it's better that Draco has no personality or any excuse for the reader to like him. We wouldn't want to forget about Harry!

But what is the point of having powerful friends, magic, money and fame if you have no one to share them with? Big relief, Harry is poised to fight the Big Evil! It seems that he is the only one who can do it, not because of his own merit of course. It's because his mother was so amazing that she wrapped him in her love like armor. Harry is the most well-loved orphan of all time! Step aside Annie. Good thing you have armor Harry, it would be very boring for the reader to hear about how you had to train and exert yourself to defeat the Big Evil. That is also something the reader has a hard time relating to. After all, the reader has never been in an epic fight with magic. Also it would ruin the whole childish appeal of the novel if Harry didn't have some secret way of defeating the Big Evil. This secret way is easily accessible and coveted. Instead of a sword or an amulet, Harry has feelings and everybody has feelings so we all can stop the Big Evil! Thanks for involving the reader Harry!

I hope by this part in the review you have recognized my sarcasm. If not, feel free to re-read.

Harry, the epitome of our Facebook, Twitter, fame-ridden dreams has also recently become the center of many new college courses. What a better place to study average Harry than a place of knowledge! To achieve the full experience of understanding and becoming Harry, colleges now offer clubs where you too can play on a broom! *These clubs vary in their descriptions, see a college catalogue for assistance* Also once you sign up for a Harry class be sure to pick up the pamphlet for the next new class, scheduled right after Harry, for white privilege! Don't let this juxtaposition fool you. It is natural to be interested and obsessed with both topics. Although Harry is a white, rich, famous male he is an orphan that experienced some mild bulling so there is no way he could fall underneath this new buzzword category of 'white privilege'. If this confuses you, please rant on FaceBook about it."
9,10,1,"EDIT:
I won't support transphobes. She has shown her colours many times and I've decided that my nostalgia and my feelings as a kid are not worth the harm JKR causes to trans people, including children. Trans people are dying, either being killed, death by lack of health care or suicide.
This is not a fucking joke anymore and no book, no memory, no love for the characters is going to save this anymore.
Even medical professionals and natural scientists are explaining how fucking wrong she is but she won't listen. So she's wrong morally, scientifically and humanly.

What I could ignore as a kid to some extent - the racism, anti-semitic dog whistles and other problems - is now too apparent and too impactful to ignore.

Trans rights are human rights.
Anti-trans ""activists"" are siding with fascists, neo-nazis and ethnonationalists.

I'm done with JKR.
My nostalgia and love for certain aspects of the story is not more important than trans rights and the lives of people.

Goodbye.



I have to sort out my thoughts on HP1 but one thing I want to mention: while the trio is studying for the final exams Harry lists different topics they have to study for history, one of them being the ""goblin rebellions"".
Against who or what did they rebell? Different fractions within the goblin community or against the wizards?
This right here hints to very deep social and cultural problems in the Potterverse, which is later expressed via Dobby and the goblin in the last book.
Rowling couldn't have tackled every aspect of the world but still...I would have loved to read about those right now! This is a big issue and it's glossed over!

Oh, one more thing: Ron is less goofy as in the movies, like not really goofy at all, Neville is already incredibly brave, Percy is amazing, and the twins are awesome!

**************************

The first time I read the first book in the Harry Potter series I was flashed. Funnily enough, my mother had bought me book four first. When I started reading I was confused as hell. I didn’t understand what was going on – obviously, because I didn’t know any of the story and therefore being plunged into another perspective than the main protagonist’s was off-putting – so I lost interest and stopped reading.
I don’t know how much time passed but one day I decided to read book four again and after a few pages I stopped. Then came the hard work of convincing my mother to buy me the first book because how could I understand everything if I didn’t read the previous books?!
My mother was as much of a bibliophile as I was – and still am – but she hesitated. It’s all the same anyway and it doesn’t matter and…
But no. I wanted it to be done properly! Start with book one! She also claimed that the book she bought was book one and I had to proof it to her by showing her the page inside the book promoting the previous books. It still took me several days to convince her I was right.
Or maybe she didn’t want to buy the book because it was about magic and for her magic is Satanic. No, I’m not kidding. The day I started being interested in horoscopes (and similar things) I was called a Satanist and whatnot. Although I never believed in horoscopes and I still don’t but that didn’t matter. I was merely curious. (Don’t ask me why she bought the book in the first place because I never asked for it. That woman makes no sense.)
Funny how things turn out because years later an Italian channel had an hours-long program (Yes, hours! With lots of pretty, half-naked women. Italian TV for you. No, were not Italian but we know the language.) and there was also a horoscope expert (expert, yes…haha) giving the weekly horoscope for each sign. She watched that shit religiously and flipped the fuck out when something or someone made even the slightest noise the moment it was her sign’s turn. (“I don’t believe in it, is just like hearing it! And I only believe it when it’s positive!!!!” Sure, mom. >_> Go talk to Jesus. He may believe you.)
Or she didn’t want to buy the book because we were – and still are – poor as fuck and buying a book for 20-30 Swiss Francs was pricey. Usually we went to the library, which was free.
In the end she did buy it and I read it and I was transfixed.

I loved the Twins, knew Hermione and Ron would end up together (it was so obvious), and didn’t like mean Snape or know-it-all Percy. I absolutely loathed the Dursleys.
After that, I devoured book two, three, and four. I know, many adults and readers critical of HP will find it stupid or amusing but I cried when Diggory died. I was 13 and his death seemed so sudden and unfair. It still is. (And then some more people died and I cried some more…meh.)
Oh, the third book. Sirius and Lupin (Lupin, you cute bisexual werewolf and your unfulfilled crush on Sirius…sad story). The core of their story – Lily, James, Lupin, Sirius, and Snape – is still one of the most tragic things. I imagined how Sirius must have felt growing up in a family that lived off hate and then losing his friends and being accused of their deaths. Lupin lost all his friends in one day; to death, prison, or betrayal.

Now I’m 28 years old and I’ve been thinking of re-reading the series for the gajillionth time. Though this time I would be an adult with new experiences, more knowledge, and far more critical.
Does the book hold up? Was it was fun, entertaining, and ground breaking as I remembered?

My honest answer?
I don’t know.

Rowling is not a bad author and she has a great sense of humour and she’s able to give enough information to tease but also propel the plot. But…in many instances I wished for more details. More descriptions.

An example: Harry and Hagrid go to Gringotts to get some of Harry’s money and a mysterious package. Standing in front of the Potters vault the goblin opens the door and tada, there’s all the moneys!
And I was sitting there like: Okay, but how does the door look like? Size? Colour? Material? Where did he put the key? Was it more a magical thing or a normal door with a normal key? How did the key look like? How does the vault look like? Was it dark or did torches suddenly flare up? What did the surrounding look like? Was it damp and earthy or more rocky, wet, and black? Rough edges or smooth surfaces?
And when the goblin opened Dumbledore’s vault by moving his finger, how did THAT look like?!

There is literally zero information!
I don’t know how anything looks, I don’t know how anything feels, I don’t know how anything smells, and I don’t know how anything sounds. Just “He opened the door with the key.”
Thank you for that terrific and colourful description.

This is one of many instances were details would have helped paint the environment so the reader could dive into the world and feel as if he was standing next to Harry.
Don’t get me wrong, I’m not asking to get every minute detail and descriptions after descriptions, but you HAVE to use the senses and describe certain elements or your character is in a fucking void. That is boring. And also a betrayal of the reader because you are waiting for more and never get those pieces. You are forever without those bits.
Writing is about the balance between description and letting the readers imagination flow but imagination can’t flow when there’s nothing. Because if there’s nothing I’m not able to gather information on how the world works.

Example: If it’s a simple door with a simple key then the goblins are fucking stupid and stealing is easy but if it’s all magical, then their smart and theft gets more complicated.


Now to the characters.
Ron is less goofy and stupid than in the movies. I had totally forgotten that. He is way snarkier and bitchier than the silly goofball than Grint’s character.
Hermione is also slightly different. Although the biggest difference is still to come, namely when they made a beauty queen out of her in the movies.
Percy was great! I loved him! Smart, kind, and protective of his crazy siblings. He is also very proud of their accomplishments.
The twins are still fun, so that hasn’t changed. :P
Harry is still the same.
Snape… Reading the book and knowing what happened is really weird. But I remain with my judgement: he was overtly spiteful towards Harry. Yeah, yeah, it’s because he hated James, because James had been a bully and Snape loved Lily, I know all that.
It does not excuse why he treats an 11-year-old, who is a stranger to him and who has done nothing to antagonize him, like his fucking nemesis. Yes, that makes his character appealing and interesting, but it makes him also disgusting and worthy of a few slaps.
Dumbledore was as I remembered him and even crazier.


A few random thoughts while reading:

- While studying for their final exams Harry mentions goblin rebellions in a throwaway line. Dafuq are those rebellions?! Tell me more about it! Were they rebelling within their community or against wizards? Give me more!
- Yeah, Dumbledore, Snape saved Harry only because James had saved Snape’s life. Sure.
- Lol the bezoar is mentioned in the first potions lesson. I will never be able to think of bezoar and NOT hear Coldmirror’s freestyle HP audiobook. I love that woman. XD
- Hagrid is an alcoholic. Wow. Just wow.
- There was no reason for Draco not to tattle about Hagrid having a dragon apart from “it fits the author’s plot”.
- The trio wanted to warn Dumbledore about Snape stealing the stone instead of rushing into danger? Wow, I had absolutely forgotten about that. They weren’t as stupid as I remembered.
- Okay, I understand why Harry thought Snape was the thief but…after the first book Harry should have at least some doubt concerning his wild ideas on Snape. Yes, Snape was an asshole but I think he proved in the first book how he ticked. Although I guess both of them had unhealthy fixation on each other. >_>
- There is something else but it slipped my mind. I will add it as soon as I remember.


Rowling manages to make interesting inter-character relationships and hints at further things to come in a wonderful manner. The most interesting thing for me are the conflicts. Unfortunately, the lack of details drain the colours from the world and doesn’t allow her to fully flesh out the characters and their relations.
And no, I don’t believe in “but it’s for kids!” because you can write great books for kids and not dumb it down too much. Give them something to think and challenge them!
In the end, the book was alright. I don’t know if I would have continued the series if I had read it as an adult. And that makes me sad because the story I read and that stayed with me for all these years was so vivid and magnificent it felt as if I was part of it.
Nonetheless, I will never forget the tragedies some characters endured because it was them that made me fall in love with Rowling’s world and it’s them I miss the most.

And now I’ll wash away this feeling of betrayal with GameGrumps and some books."
